system,mean_system_performance,minimum_system_performance,final_system_performance,mean_equity_adjusted_performance,maximum_resource_coupling,final_resource_coupling
Urban Drinking Water and Sanitation Network,0.99876,0.94158,1.0,0.99006,0.8342,0.8342
Watershed and Recharge Landscape,0.99874,0.95137,1.0,0.98922,0.73825,0.73825
Regional Food Storage and Distribution System,0.99695,0.9112,1.0,0.98818,0.85148,0.85148
Smallholder Food and Water Livelihood System,0.99601,0.90795,1.0,0.98808,0.89094,0.89094
Irrigated Agricultural Basin,0.99605,0.90063,1.0,0.98756,0.96631,0.96631
Coastal Delta Food-Water System,0.99412,0.88189,1.0,0.98632,0.97643,0.97643
